<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
RI.RTSI,D,20170615,000000,991.9600000
RI.RTSI,D,20170616,000000,994.3800000
RI.RTSI,D,20170619,000000,998.3400000
RI.RTSI,D,20170620,000000,981.0300000
RI.RTSI,D,20170621,000000,973.3300000
RI.RTSI,D,20170622,000000,978.4500000
RI.RTSI,D,20170623,000000,988.9300000
RI.RTSI,D,20170626,000000,992.8400000
RI.RTSI,D,20170627,000000,1003.7900000
RI.RTSI,D,20170628,000000,1002.8300000
RI.RTSI,D,20170629,000000,1000.4500000
RI.RTSI,D,20170630,000000,1000.9600000
RI.RTSI,D,20170703,000000,1009.4200000
RI.RTSI,D,20170704,000000,1017.5900000
RI.RTSI,D,20170705,000000,1007.8800000
RI.RTSI,D,20170706,000000,1011.7900000
RI.RTSI,D,20170707,000000,995.2400000
RI.RTSI,D,20170710,000000,1006.1400000
RI.RTSI,D,20170711,000000,1001.5100000
RI.RTSI,D,20170712,000000,1025.6800000
RI.RTSI,D,20170713,000000,1029.8900000
RI.RTSI,D,20170714,000000,1044.2700000
RI.RTSI,D,20170717,000000,1039.3400000
RI.RTSI,D,20170718,000000,1038.4500000
RI.RTSI,D,20170719,000000,1043.1300000
RI.RTSI,D,20170720,000000,1038.5400000
RI.RTSI,D,20170721,000000,1024.8900000
RI.RTSI,D,20170724,000000,1013.6900000
RI.RTSI,D,20170725,000000,1010.0600000
RI.RTSI,D,20170726,000000,1020.6000000
RI.RTSI,D,20170727,000000,1030.9500000
RI.RTSI,D,20170728,000000,1014.4400000
RI.RTSI,D,20170731,000000,1007.1400000
RI.RTSI,D,20170801,000000,1014.2400000
RI.RTSI,D,20170802,000000,1021.4200000
RI.RTSI,D,20170803,000000,1029.4100000
RI.RTSI,D,20170804,000000,1026.7300000
RI.RTSI,D,20170807,000000,1032.6800000
RI.RTSI,D,20170808,000000,1048.6900000
RI.RTSI,D,20170809,000000,1034.9800000
RI.RTSI,D,20170810,000000,1029.2600000
RI.RTSI,D,20170811,000000,1022.4100000
RI.RTSI,D,20170814,000000,1031.1300000
RI.RTSI,D,20170815,000000,1027.4500000
RI.RTSI,D,20170816,000000,1029.7600000
RI.RTSI,D,20170817,000000,1034.0500000
RI.RTSI,D,20170818,000000,1027.8500000
RI.RTSI,D,20170821,000000,1034.2900000
RI.RTSI,D,20170822,000000,1039.4400000
RI.RTSI,D,20170823,000000,1044.9600000
RI.RTSI,D,20170824,000000,1049.9600000
RI.RTSI,D,20170825,000000,1060.4900000
RI.RTSI,D,20170828,000000,1068.7500000
RI.RTSI,D,20170829,000000,1067.5800000
RI.RTSI,D,20170830,000000,1084.4100000
RI.RTSI,D,20170831,000000,1095.8400000
RI.RTSI,D,20170901,000000,1100.5800000
RI.RTSI,D,20170904,000000,1091.8300000
RI.RTSI,D,20170905,000000,1100.8300000
RI.RTSI,D,20170906,000000,1106.7000000
RI.RTSI,D,20170907,000000,1110.7300000
RI.RTSI,D,20170908,000000,1119.6100000
RI.RTSI,D,20170911,000000,1126.7400000
RI.RTSI,D,20170912,000000,1124.2300000
RI.RTSI,D,20170913,000000,1118.3800000
RI.RTSI,D,20170914,000000,1125.6900000
RI.RTSI,D,20170915,000000,1123.4300000
RI.RTSI,D,20170918,000000,1119.1400000
RI.RTSI,D,20170919,000000,1108.7100000
RI.RTSI,D,20170920,000000,1122.4300000
RI.RTSI,D,20170921,000000,1120.1300000
RI.RTSI,D,20170922,000000,1123.2400000
RI.RTSI,D,20170925,000000,1130.5400000
RI.RTSI,D,20170926,000000,1127.2600000
RI.RTSI,D,20170927,000000,1126.9400000
RI.RTSI,D,20170928,000000,1125.5600000
RI.RTSI,D,20170929,000000,1136.7500000
RI.RTSI,D,20171002,000000,1128.6900000
RI.RTSI,D,20171003,000000,1129.9000000
RI.RTSI,D,20171004,000000,1137.1400000
