<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MTSS,D,20170328,000000,284.5000000
MTSS,D,20170329,000000,285.0500000
MTSS,D,20170330,000000,280.2500000
MTSS,D,20170331,000000,272.6000000
MTSS,D,20170403,000000,273.5500000
MTSS,D,20170404,000000,279.1000000
MTSS,D,20170405,000000,278.9500000
MTSS,D,20170406,000000,284.5500000
MTSS,D,20170407,000000,281.2500000
MTSS,D,20170410,000000,273.5000000
MTSS,D,20170411,000000,275.6000000
MTSS,D,20170412,000000,275.0000000
MTSS,D,20170413,000000,274.5000000
MTSS,D,20170414,000000,270.8000000
MTSS,D,20170417,000000,272.2500000
MTSS,D,20170418,000000,269.1000000
MTSS,D,20170419,000000,268.1000000
MTSS,D,20170420,000000,265.9000000
MTSS,D,20170421,000000,266.5500000
MTSS,D,20170424,000000,274.3500000
MTSS,D,20170425,000000,277.3000000
MTSS,D,20170426,000000,277.6000000
MTSS,D,20170427,000000,274.4000000
MTSS,D,20170428,000000,273.8500000
MTSS,D,20170502,000000,276.0000000
MTSS,D,20170503,000000,247.3000000
MTSS,D,20170504,000000,246.5000000
MTSS,D,20170505,000000,256.0000000
MTSS,D,20170510,000000,256.0000000
MTSS,D,20170511,000000,253.1000000
MTSS,D,20170512,000000,250.9000000
MTSS,D,20170515,000000,246.5000000
MTSS,D,20170516,000000,241.4500000
MTSS,D,20170517,000000,243.7000000
MTSS,D,20170518,000000,244.2500000
MTSS,D,20170519,000000,242.4000000
MTSS,D,20170522,000000,243.6000000
MTSS,D,20170523,000000,246.4000000
MTSS,D,20170524,000000,243.0500000
MTSS,D,20170525,000000,242.0000000
MTSS,D,20170526,000000,243.0500000
MTSS,D,20170529,000000,243.0000000
MTSS,D,20170530,000000,246.0500000
MTSS,D,20170531,000000,236.5000000
MTSS,D,20170601,000000,241.0500000
MTSS,D,20170602,000000,248.8000000
MTSS,D,20170605,000000,248.7000000
MTSS,D,20170606,000000,248.0500000
MTSS,D,20170607,000000,250.0000000
MTSS,D,20170608,000000,249.0000000
MTSS,D,20170609,000000,252.2500000
MTSS,D,20170613,000000,249.6500000
MTSS,D,20170614,000000,245.0000000
MTSS,D,20170615,000000,240.7500000
MTSS,D,20170616,000000,237.5000000
MTSS,D,20170619,000000,239.4000000
MTSS,D,20170620,000000,242.9500000
MTSS,D,20170621,000000,240.3500000
MTSS,D,20170622,000000,242.0000000
MTSS,D,20170623,000000,244.3000000
MTSS,D,20170626,000000,239.0500000
MTSS,D,20170627,000000,232.0000000
MTSS,D,20170628,000000,235.0500000
MTSS,D,20170629,000000,234.0000000
MTSS,D,20170630,000000,234.5000000
MTSS,D,20170703,000000,237.0000000
MTSS,D,20170704,000000,239.5000000
MTSS,D,20170705,000000,237.5500000
MTSS,D,20170706,000000,237.5500000
MTSS,D,20170707,000000,224.0500000
MTSS,D,20170710,000000,225.6000000
MTSS,D,20170711,000000,227.9500000
MTSS,D,20170712,000000,229.9500000
MTSS,D,20170713,000000,233.4500000
MTSS,D,20170714,000000,236.4000000
MTSS,D,20170717,000000,234.8000000
MTSS,D,20170718,000000,232.8000000
MTSS,D,20170719,000000,231.0000000
MTSS,D,20170720,000000,233.2500000
MTSS,D,20170721,000000,230.5500000
MTSS,D,20170724,000000,234.6000000
MTSS,D,20170725,000000,236.4000000
MTSS,D,20170726,000000,237.2500000
MTSS,D,20170727,000000,237.8000000
MTSS,D,20170728,000000,236.9500000
MTSS,D,20170731,000000,236.2000000
MTSS,D,20170801,000000,236.7000000
MTSS,D,20170802,000000,240.1000000
MTSS,D,20170803,000000,243.3000000
MTSS,D,20170804,000000,241.0500000
MTSS,D,20170807,000000,241.6000000
MTSS,D,20170808,000000,243.5500000
MTSS,D,20170809,000000,242.0000000
MTSS,D,20170810,000000,240.6000000
MTSS,D,20170811,000000,241.3000000
MTSS,D,20170814,000000,243.8500000
MTSS,D,20170815,000000,243.8000000
MTSS,D,20170816,000000,243.8000000
MTSS,D,20170817,000000,243.2500000
MTSS,D,20170818,000000,244.0000000
MTSS,D,20170821,000000,244.9500000
MTSS,D,20170822,000000,245.2500000
MTSS,D,20170823,000000,247.5500000
MTSS,D,20170824,000000,252.0000000
MTSS,D,20170825,000000,253.0000000
MTSS,D,20170828,000000,252.0000000
MTSS,D,20170829,000000,254.7000000
MTSS,D,20170830,000000,257.7000000
MTSS,D,20170831,000000,270.0000000
MTSS,D,20170901,000000,264.9000000
MTSS,D,20170904,000000,261.0500000
MTSS,D,20170905,000000,264.2500000
MTSS,D,20170906,000000,273.7000000
MTSS,D,20170907,000000,275.4500000
MTSS,D,20170908,000000,277.5500000
MTSS,D,20170911,000000,283.5000000
MTSS,D,20170912,000000,286.4000000
MTSS,D,20170913,000000,285.9000000
MTSS,D,20170914,000000,286.1500000
MTSS,D,20170915,000000,288.0000000
MTSS,D,20170918,000000,286.2000000
MTSS,D,20170919,000000,292.4500000
MTSS,D,20170920,000000,291.5000000
MTSS,D,20170921,000000,288.0000000
MTSS,D,20170922,000000,279.4500000
MTSS,D,20170925,000000,277.5500000
MTSS,D,20170926,000000,282.3500000
MTSS,D,20170927,000000,283.8500000
MTSS,D,20170928,000000,282.8500000
MTSS,D,20170929,000000,282.0500000
MTSS,D,20171002,000000,279.5000000
MTSS,D,20171003,000000,279.7000000
MTSS,D,20171004,000000,278.5000000
MTSS,D,20171005,000000,278.6000000
MTSS,D,20171006,000000,278.4500000
MTSS,D,20171009,000000,282.8000000
MTSS,D,20171010,000000,283.0000000
MTSS,D,20171011,000000,291.9500000
MTSS,D,20171012,000000,282.5000000
MTSS,D,20171013,000000,283.7000000
MTSS,D,20171016,000000,283.5000000
MTSS,D,20171017,000000,282.3000000
MTSS,D,20171018,000000,286.1000000
MTSS,D,20171019,000000,281.5500000
MTSS,D,20171020,000000,281.1500000
MTSS,D,20171023,000000,280.7500000
MTSS,D,20171024,000000,284.2000000
MTSS,D,20171025,000000,284.1500000
MTSS,D,20171026,000000,282.5500000
MTSS,D,20171027,000000,283.4000000
MTSS,D,20171030,000000,282.6000000
MTSS,D,20171031,000000,281.5000000
MTSS,D,20171101,000000,287.7500000
MTSS,D,20171102,000000,281.6000000
MTSS,D,20171103,000000,286.2000000
MTSS,D,20171107,000000,291.8000000
MTSS,D,20171108,000000,287.8000000
MTSS,D,20171109,000000,288.5000000
MTSS,D,20171110,000000,292.9500000
MTSS,D,20171113,000000,295.9500000
MTSS,D,20171114,000000,294.5000000
MTSS,D,20171115,000000,284.2000000
MTSS,D,20171116,000000,280.5500000
MTSS,D,20171117,000000,283.0000000
MTSS,D,20171120,000000,283.0000000
MTSS,D,20171121,000000,284.3000000
MTSS,D,20171122,000000,280.3000000
MTSS,D,20171123,000000,283.1000000
MTSS,D,20171124,000000,288.7000000
MTSS,D,20171127,000000,285.9000000
MTSS,D,20171128,000000,284.0000000
MTSS,D,20171129,000000,282.0000000
MTSS,D,20171130,000000,284.5500000
MTSS,D,20171201,000000,277.4000000
MTSS,D,20171204,000000,266.0000000
MTSS,D,20171205,000000,264.0000000
MTSS,D,20171206,000000,264.9000000
MTSS,D,20171207,000000,248.0000000
MTSS,D,20171208,000000,246.4000000
MTSS,D,20171211,000000,252.9000000
MTSS,D,20171212,000000,253.1500000
MTSS,D,20171213,000000,250.8500000
MTSS,D,20171214,000000,256.2000000
MTSS,D,20171215,000000,266.0000000
MTSS,D,20171218,000000,263.0000000
MTSS,D,20171219,000000,262.1500000
MTSS,D,20171220,000000,260.6000000
MTSS,D,20171221,000000,269.0000000
MTSS,D,20171222,000000,271.4000000
MTSS,D,20171225,000000,285.5000000
MTSS,D,20171226,000000,281.2500000
MTSS,D,20171227,000000,280.5000000
MTSS,D,20171228,000000,279.9000000
MTSS,D,20171229,000000,276.0000000
